,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,56,-0.9999999821428575,0.061403508704601414,0.6518282988871225,0.4878048780487805,0.4558532707743612,0.6518282988871225,400,817,2.7840616966580978,3,7.381884944920441
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,10,-0.99999990000001,0.043478260680529304,0.625,0.4930232558139535,0.4472093023255814,0.625,106,214,2.7681159420289854,3,7.11214953271028
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,77,-0.9999999870129872,0.09974093251328894,0.5763389288569145,0.4521497919556172,0.4113954883250127,0.5763389288569145,326,717,2.4921985815602836,12,6.7656903765690375
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0,35,-0.9999999714285723,0.0634057969865837,0.6328125,0.4732510288065844,0.44242541152263376,0.6328125,230,481,2.6769230769230767,5,7.014553014553014
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,85,-0.9999999882352942,0.10732323218772319,0.59592795614722,0.49540078843626806,0.43653149783339523,0.59592795614722,377,761,2.683578104138852,3,7.206307490144547
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,58,-0.999999982758621,0.08828006074843217,0.5174938974776241,0.470125786163522,0.3950478734564585,0.5174938974776241,299,635,2.5453100158982513,6,6.814173228346457
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0,4,-0.9999997500000625,0.016260162535527794,0.6928104575163399,0.5424528301886793,0.49410531508200767,0.6928104575163399,115,212,2.7333333333333334,1,7.419811320754717
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,18,-0.9999999444444475,0.04054054044923302,0.6149341142020498,0.4238095238095238,0.41549745520462944,0.6149341142020498,178,417,2.524154589371981,3,6.800959232613909
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0,84,-0.9999999880952383,0.12371134002398919,0.5750232991612302,0.5056726094003241,0.4322783634246218,0.5750232991612302,312,617,2.6799336650082917,4,7.288492706645057
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0,56,-0.9999999821428575,0.12389380503563317,0.5241935483870968,0.34945054945054943,0.3494576391350585,0.5241935483870968,159,453,2.368888888888889,38,6.403973509933775
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,44,-0.9999999772727278,0.056701030854766715,0.6124567474048442,0.4901129943502825,0.4410278967020507,0.6124567474048442,347,708,2.6451612903225805,1,7.200564971751413
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,45,-0.9999999777777784,0.06320224710224404,0.5753191489361702,0.5103550295857988,0.43426967140878764,0.5753191489361702,345,674,2.6800595238095237,1,7.3026706231454
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0,79,-0.9999999873417723,0.09987357762342151,0.6083976006855184,0.5,0.44335904027420736,0.6083976006855184,355,709,2.656160458452722,2,7.218617771509168
